AÑO_APROBACION	DEPARTAMENTO_PROYECTO	TOTAL_PROYECTOS
2009	AMAZONAS	2
2010	AMAZONAS	1
2011	AMAZONAS	2
2012	AMAZONAS	2
2009	ANTIOQUIA	87
2010	ANTIOQUIA	133
2011	ANTIOQUIA	26
2012	ANTIOQUIA	100
2013	ANTIOQUIA	59
2014	ANTIOQUIA	89
2015	ANTIOQUIA	66
2016	ANTIOQUIA	36
2009	ARAUCA	1
2011	ARAUCA	1
2011	ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y 	1
2009	ATLANTICO	15
2010	ATLANTICO	16
2011	ATLANTICO	4
2012	ATLANTICO	18
2013	ATLANTICO	14
2014	ATLANTICO	15
2015	ATLANTICO	7
2016	ATLANTICO	6
2011	BOGOTA D. C.	50
2013	BOGOTA D. C.	59
2014	BOGOTA D. C.	112
2015	BOGOTA D. C.	57
2016	BOGOTA D. C.	27
2009	BOGOTA D.C.	90
2010	BOGOTA D.C.	196
2012	BOGOTA D.C.	92
2009	BOLIVAR	8
2010	BOLIVAR	16
2011	BOLIVAR	2
2012	BOLIVAR	13
2013	BOLIVAR	5
2014	BOLIVAR	9
2015	BOLIVAR	6
2016	BOLIVAR	3
2009	BOYACA	4
2010	BOYACA	5
2011	BOYACA	2
2012	BOYACA	2
2013	BOYACA	1
2014	BOYACA	5
2015	BOYACA	1
2009	CALDAS	12
2010	CALDAS	14
2011	CALDAS	6
2012	CALDAS	8
2013	CALDAS	6
2014	CALDAS	6
2015	CALDAS	4
2016	CALDAS	3
2009	CAQUETA	2
2010	CAQUETA	1
2011	CAQUETA	10
2014	CAQUETA	1
2016	CAQUETA	1
2011	CASANARE	1
2012	CASANARE	3
2015	CASANARE	1
2009	CAUCA	6
2010	CAUCA	9
2011	CAUCA	6
2012	CAUCA	9
2013	CAUCA	2
2014	CAUCA	8
2015	CAUCA	4
2009	CESAR	1
2010	CESAR	1
2012	CESAR	1
2011	CHOCO	1
2012	CHOCO	3
2014	CHOCO	1
2009	CORDOBA	3
2010	CORDOBA	1
2011	CORDOBA	7
2012	CORDOBA	1
2013	CORDOBA	2
2015	CORDOBA	2
2009	CUNDINAMARCA	8
2010	CUNDINAMARCA	9
2011	CUNDINAMARCA	6
2012	CUNDINAMARCA	3
2013	CUNDINAMARCA	1
2014	CUNDINAMARCA	7
2015	CUNDINAMARCA	4
2012	GUAVIARE	1
2009	HUILA	4
2010	HUILA	5
2012	HUILA	6
2014	HUILA	1
2009	LA GUAJIRA	1
2011	LA GUAJIRA	4
2012	LA GUAJIRA	1
2013	LA GUAJIRA	1
2009	MAGDALENA	9
2010	MAGDALENA	11
2011	MAGDALENA	1
2012	MAGDALENA	9
2013	MAGDALENA	1
2014	MAGDALENA	5
2015	MAGDALENA	1
2016	MAGDALENA	1
2009	META	3
2010	META	2
2012	META	3
2009	NARINO	2
2011	NARINO	8
2012	NARINO	3
2013	NARINO	2
2014	NARINO	2
2015	NARINO	3
2016	NARINO	1
2010	NORTE DE SANTANDER	1
2011	NORTE DE SANTANDER	4
2012	NORTE DE SANTANDER	3
2014	NORTE DE SANTANDER	2
2012	PUTUMAYO	1
2009	QUINDIO	4
2010	QUINDIO	5
2011	QUINDIO	1
2012	QUINDIO	3
2013	QUINDIO	4
2014	QUINDIO	5
2015	QUINDIO	3
2016	QUINDIO	3
2009	RISARALDA	3
2010	RISARALDA	7
2011	RISARALDA	5
2012	RISARALDA	10
2013	RISARALDA	1
2014	RISARALDA	8
2015	RISARALDA	2
2016	RISARALDA	4
2009	SANTANDER	23
2010	SANTANDER	34
2011	SANTANDER	11
2012	SANTANDER	24
2013	SANTANDER	11
2014	SANTANDER	26
2015	SANTANDER	17
2016	SANTANDER	9
2009	SUCRE	2
2010	SUCRE	2
2011	SUCRE	2
2012	SUCRE	1
2009	TOLIMA	6
2010	TOLIMA	3
2011	TOLIMA	6
2012	TOLIMA	2
2013	TOLIMA	1
2014	TOLIMA	1
2016	TOLIMA	1
2009	VALLE DEL CAUCA	32
2010	VALLE DEL CAUCA	53
2011	VALLE DEL CAUCA	20
2012	VALLE DEL CAUCA	27
2013	VALLE DEL CAUCA	18
2014	VALLE DEL CAUCA	30
2015	VALLE DEL CAUCA	23
2016	VALLE DEL CAUCA	11
2011	VAUPES	1
2012	VAUPES	2
2011	VICHADA	1
